,Cocktail Name,Recipe,Ingredients,Proportions
25,Avalon,"NoneLemonade, 1 1/2 part Lemon juice, 6 parts Apple juice, 1 part Pisang Ambon, 3 partsVodka","Lemonade, Lemon juice, Apple juice, Pisang Ambon, Vodka","1 1/2 part , 6 parts , 1 part , 3 parts"
26,Abilene,"3 oz Orange juice, 2 oz Peach nectar, 1 1/2 oz Dark rum","Orange juice, Peach nectar, Dark rum","3 oz , 2 oz , 1 1/2 oz "
27,Addison,"1 1/2 shot Vermouth, 1 1/2 shot Gin","Vermouth, Gin","1 1/2 shot , 1 1/2 shot "
28,Almeria,"1 Egg white, 1 oz Kahlua, 2 oz Dark rum","Egg white, Kahlua, Dark rum","1 , 1 oz , 2 oz "
29,Acapulco,"1 Mint, 1 Egg white, 1 tsp Sugar, 1 tblsp Lime juice, 1 1/2 tsp Triple sec, 1 1/2 oz Light rum","Mint, Egg white, Sugar, Lime juice, Triple sec, Light rum","1 , 1 , 1 tsp , 1 tblsp , 1 1/2 tsp , 1 1/2 oz "
30,Affinity,"2 dashes Orange bitters, 1 oz Dry Vermouth, 1 oz Sweet Vermouth, 1 1/2 oz Scotch","Orange bitters, Dry Vermouth, Sweet Vermouth, Scotch","2 dashes , 1 oz , 1 oz , 1 1/2 oz "
31,Applecar,"1 oz Lemon juice, 1 oz Triple sec, 1 oz Applejack","Lemon juice, Triple sec, Applejack","1 oz , 1 oz , 1 oz "
32,Aviation,"1.5 clmaraschino liqueur, 1.5 cllemon juice, 4.5 clGin","maraschino liqueur, lemon juice, Gin","1.5 cl, 1.5 cl, 4.5 cl"
33,Adam Bomb,"NoneFruit juice, 1-3 pint Salt, NoneIce, NoneFruit, 1/2 part Triple sec, 1 part Tequila, 1 part Vodka, 1 part Rum","Fruit juice, Salt, Ice, Fruit, Triple sec, Tequila, Vodka, Rum","1/2 part , 1 part , 1 part , 1 part "
34,Addington,"Top up with
Soda Water, 1 shot Dry Vermouth, 2 shots Sweet Vermouth","Soda Water, Dry Vermouth, Sweet Vermouth","Top up with
, 1 shot , 2 shots "
35,After sex,"NoneOrange juice, 1 cl Creme de Banane, 2 cl Vodka","Orange juice, Creme de Banane, Vodka","1 cl , 2 cl "
36,Afterglow,"4 parts Pineapple juice, 4 parts Orange juice, 1 part Grenadine","Pineapple juice, Orange juice, Grenadine","4 parts , 4 parts , 1 part "
37,Afternoon,"NoneCream, 4 cl hot Coffee, 1 1/2 Frangelico, 1 cl Baileys irish cream, 1 cl Kahlua","Cream, Coffee, Frangelico, Baileys irish cream, Kahlua","4 cl hot , 1 1/2 , 1 cl , 1 cl "
38,Alexander,"NoneNutmeg, 2 oz Light cream, 1/2 oz white Creme de Cacao, 1/2 oz Gin","Nutmeg, Light cream, Creme de Cacao, Gin","2 oz , 1/2 oz white , 1/2 oz "
39,Algonquin,"1 oz Pineapple juice, 1 oz Dry Vermouth, 1 1/2 oz Blended whiskey","Pineapple juice, Dry Vermouth, Blended whiskey","1 oz , 1 oz , 1 1/2 oz "
40,Allegheny,"1 twist of Lemon peel, 1 1/2 tsp Lemon juice, 1 1/2 tsp Blackberry brandy, 1 oz Bourbon, 1 oz Dry Vermouth","Lemon peel, Lemon juice, Blackberry brandy, Bourbon, Dry Vermouth","1 twist of , 1 1/2 tsp , 1 1/2 tsp , 1 oz , 1 oz "
41,B-52,"1/4 Kahlua, 1/3 Grand Marnier, 1/3 Baileys irish cream","Kahlua, Grand Marnier, Baileys irish cream","1/4 , 1/3 , 1/3 "
42,B-53,"1/3 shot Grand Marnier, 1/3 shot Sambuca, 1/3 shot Kahlua","Grand Marnier, Sambuca, Kahlua","1/3 shot , 1/3 shot , 1/3 shot "
43,Bijou,"1 ozSweet Vermouth, 1 ozGin, 1 ozGreen Chartreuse, 1 dashOrange Bitters","Sweet Vermouth, Gin, Green Chartreuse, Orange Bitters","1 oz, 1 oz, 1 oz, 1 dash"
44,Boxcar,"1 Egg white, 1/2 tsp Grenadine, 1 tsp Lemon juice, 1 oz Triple sec, 1 1/2 oz Gin","Egg white, Grenadine, Lemon juice, Triple sec, Gin","1 , 1/2 tsp , 1 tsp , 1 oz , 1 1/2 oz "
45,Big Red,"1/2 oz Goldschlager, 1/2 oz Irish cream","Goldschlager, Irish cream","1/2 oz , 1/2 oz "
46,Bellini,"1 oz Peach schnapps, 6 oz Champagne","Peach schnapps, Champagne","1 oz , 6 oz "
47,Bramble,"1.5 clCreme de Mure, 1 clSugar syrup, 1.5 cllemon juice, 4 clGin","Creme de Mure, Sugar syrup, lemon juice, Gin","1.5 cl, 1 cl, 1.5 cl, 4 cl"
48,Balmoral,"2 dashes Bitters, 1/2 oz Dry Vermouth, 1/2 oz Sweet Vermouth, 1 1/2 oz Scotch","Bitters, Dry Vermouth, Sweet Vermouth, Scotch","2 dashes , 1/2 oz , 1/2 oz , 1 1/2 oz "
49,Bluebird,"1 twist of Lemon peel, 1 Maraschino cherry, 2 dashes Bitters, 1/2 oz Blue Curacao, 1/2 oz Triple sec, 1 1/2 oz Gin","Lemon peel, Maraschino cherry, Bitters, Blue Curacao, Triple sec, Gin","1 twist of , 1 , 2 dashes , 1/2 oz , 1/2 oz , 1 1/2 oz "
50,Brooklyn,"1Maraschino Cherry, 3 dashesAngostura Bitters, 1/4 ozMaraschino Liqueur, 1 ozDry Vermouth, 2 ozRye Whiskey","Maraschino Cherry, Angostura Bitters, Maraschino Liqueur, Dry Vermouth, Rye Whiskey","1, 3 dashes, 1/4 oz, 1 oz, 2 oz"
51,Bora Bora,"1 cl Grenadine, 1 cl Lemon juice, 6 cl Passion fruit juice, 10 cl Pineapple juice","Grenadine, Lemon juice, Passion fruit juice, Pineapple juice","1 cl , 1 cl , 6 cl , 10 cl "
52,Boomerang,"1 Maraschino cherry, 1/2 tsp Maraschino liqueur, 2 dashes Bitters, 1/2 oz Dry Vermouth, 2 oz Gin","Maraschino cherry, Maraschino liqueur, Bitters, Dry Vermouth, Gin","1 , 1/2 tsp , 2 dashes , 1/2 oz , 2 oz "
53,Barracuda,"top up Prosecco,  1 dashLime Juice, 6 clPineapple Juice, 1.5 clGalliano, 4.5 clRum","Prosecco, Lime Juice, Pineapple Juice, Galliano, Rum","top up ,  1 dash, 6 cl, 1.5 cl, 4.5 cl"
54,Brigadier,"1 ozCherry Heering, 1 ozGreen Chartreuse, 4 ozHot Chocolate","Cherry Heering, Green Chartreuse, Hot Chocolate","1 oz, 1 oz, 4 oz"
55,Broadside,"cubesIce, 1 FreshWormwood, 3 dropsBitters, 1/2 shotScotch, 1 shot151 proof rum","Ice, Wormwood, Bitters, Scotch, 151 proof rum","cubes, 1 Fresh, 3 drops, 1/2 shot, 1 shot"
56,Buccaneer,"1 shot Bacardi Limon, 1 Corona","Bacardi Limon, Corona","1 shot , 1 "
57,Brain Fart,"1 pint Rum, 1 small bottle Lemon juice, 2 L Surge, 2 L Mountain Dew, 1 fifth Smirnoff red label Vodka, 1 fifth Everclear","Rum, Lemon juice, Surge, Mountain Dew, Vodka, Everclear","1 pint , 1 small bottle , 2 L , 2 L , 1 fifth Smirnoff red label , 1 fifth "
58,Blackthorn,"1 twist of Lemon peel, 1 1/2 oz Sloe gin, 1 oz Sweet Vermouth","Lemon peel, Sloe gin, Sweet Vermouth","1 twist of , 1 1/2 oz , 1 oz "
59,Bob Marley,"1/2 oz Goldschlager, 1/2 oz Jägermeister, 1/2 oz Midori melon liqueur","Goldschlager, Jägermeister, Midori melon liqueur","1/2 oz , 1/2 oz , 1/2 oz "
60,Bible Belt,"2 oz Sour mix, 2 wedges Lime, 1/2 oz Triple sec, 2 oz Southern Comfort","Sour mix, Lime, Triple sec, Southern Comfort","2 oz , 2 wedges , 1/2 oz , 2 oz "
61,Bubble Gum,"1/4 Peach schnapps, 1/4 Orange juice, 1/4 Banana liqueur, 1/4 Vodka","Peach schnapps, Orange juice, Banana liqueur, Vodka","1/4 , 1/4 , 1/4 , 1/4 "
62,Bumble Bee,"1/3 oz Sambuca, 1/3 oz Kahlua, 1/3 oz Baileys irish cream","Sambuca, Kahlua, Baileys irish cream","1/3 oz , 1/3 oz , 1/3 oz "
63,Baby Eskimo,"2 scoops Vanilla ice-cream, 8 oz Milk, 2 oz Kahlua","Vanilla ice-cream, Milk, Kahlua","2 scoops , 8 oz , 2 oz "
64,Boston Sour,"1 Cherry, 1 slice Lemon, 1 Egg white, 1 tsp Powdered sugar, Juice of 1/2 Lemon, 2 oz Blended whiskey","Cherry, Lemon, Egg white, Powdered sugar, Lemon, Blended whiskey","1 , 1 slice , 1 , 1 tsp , Juice of 1/2 , 2 oz "
65,Bahama Mama,"1 partSweet and Sour, 2 partsOrange Juice, 2 partsPineapple Juice, 1 partGrenadine, 1 partBanana liqueur, 1 partDark Rum, 3 partsRum","Sweet and Sour, Orange Juice, Pineapple Juice, Grenadine, Banana liqueur, Dark Rum, Rum","1 part, 2 parts, 2 parts, 1 part, 1 part, 1 part, 3 parts"
66,Casino,"1 Cherry, 2 dashes Orange bitters, 1/4 tsp Lemon juice, 1/4 tsp Maraschino liqueur, 2 oz Gin","Cherry, Orange bitters, Lemon juice, Maraschino liqueur, Gin","1 , 2 dashes , 1/4 tsp , 1/4 tsp , 2 oz "
67,Cafe Savoy,"NoneBrandy, 1/2 oz Triple sec, 1/2 oz Milk, NoneCoffee","Brandy, Triple sec, Milk, Coffee",
68,Caipirinha,"2 1/2 oz Cachaca, 1 Lime, 2 tspSugar","Cachaca, Lime, Sugar","2 1/2 oz , 1 , 2 tsp"
69,Cream Soda,"NoneGinger ale, 1 oz Spiced rum","Ginger ale, Spiced rum",1 oz 
70,Cuba Libra,"NoneIce, Fill with Coca-Cola, Squeeze Lime, 1-2 shot Dark rum","Ice, Coca-Cola, Lime, Dark rum","Fill with , Squeeze , 1-2 shot "
71,Cherry Rum,"1 tblsp Light cream, 1 1/2 tsp Cherry brandy, 1 1/4 oz Light rum","Light cream, Cherry brandy, Light rum","1 tblsp , 1 1/2 tsp , 1 1/4 oz "
72,Cuba Libre,"NoneCoca-Cola, Juice of 1/2 Lime, 2 oz Light rum","Coca-Cola, Lime, Light rum","Juice of 1/2 , 2 oz "
73,Corn n Oil,"1 ozblackstrap rum, 1 ozAñejo rum, 2 dashesAngostura Bitters, 1/3 ozFalernum, 1/2Lime","blackstrap rum, Añejo rum, Angostura Bitters, Falernum, Lime","1 oz, 1 oz, 2 dashes, 1/3 oz, 1/2"
74,Citrus Coke,"2 parts Coca-Cola, 1 part Bacardi Limon","Coca-Cola, Bacardi Limon","2 parts , 1 part "
75,Casa Blanca,"1 1/2 tsp Maraschino liqueur, 1 1/2 tsp Lime juice, 1 1/2 tsp Triple sec, 2 oz Light rum","Maraschino liqueur, Lime juice, Triple sec, Light rum","1 1/2 tsp , 1 1/2 tsp , 1 1/2 tsp , 2 oz "
76,Clover Club,"1 Egg white, Juice of 1/2 Lemon, 2 tsp Grenadine, 1 1/2 oz Gin","Egg white, Lemon, Grenadine, Gin","1 , Juice of 1/2 , 2 tsp , 1 1/2 oz "
77,Caipirissima,"crushed Ice, 2-3 oz White rum, 2 tblsp Sugar, 2 Lime","Ice, White rum, Sugar, Lime","crushed , 2-3 oz , 2 tblsp , 2 "
78,City Slicker,"1 tblsp Lemon juice, 1/2 oz Triple sec, 2 oz Brandy","Lemon juice, Triple sec, Brandy","1 tblsp , 1/2 oz , 2 oz "
79,Campari Beer,"1 1/2 cl Campari, 1 bottle Lager","Campari, Lager","1 1/2 cl , 1 bottle "
80,Chicago Fizz,"NoneCarbonated water, 1 Egg white, 1 tsp Powdered sugar, Juice of 1/2 Lemon, 1 oz Port, 1 oz Light rum","Carbonated water, Egg white, Powdered sugar, Lemon, Port, Light rum","1 , 1 tsp , Juice of 1/2 , 1 oz , 1 oz "
81,Cosmopolitan,"1/4 cup Cranberry juice, 1/4 oz Cointreau, 1/4 oz Lime juice, 1 1/4 oz Vodka","Cranberry juice, Cointreau, Lime juice, Vodka","1/4 cup , 1/4 oz , 1/4 oz , 1 1/4 oz "
82,Coffee-Vodka,"NoneCaramel coloring, 1 1/2 cupVodka, 1/2Vanilla, 1/2 cup instant Coffee, 2 cups white Sugar, 2 cups Water","Caramel coloring, Vodka, Vanilla, Coffee, Sugar, Water","1 1/2 cup, 1/2, 1/2 cup instant , 2 cups white , 2 cups "
83,Casino Royale,"1 Egg yolk, 1 dash Orange bitters, 1 tsp Maraschino liqueur, 1/2 oz Lemon juice, 2 oz Gin","Egg yolk, Orange bitters, Maraschino liqueur, Lemon juice, Gin","1 , 1 dash , 1 tsp , 1/2 oz , 2 oz "
84,Corpse Reviver,"1 dashAbsinthe, 3/4 ozLemon Juice, 3/4 ozLillet Blanc, 3/4 ozTriple Sec, 3/4 ozGin","Absinthe, Lemon Juice, Lillet Blanc, Triple Sec, Gin","1 dash, 3/4 oz, 3/4 oz, 3/4 oz, 3/4 oz"
85,Chocolate Milk,"1 dash Amaretto, 1/2 shot Milk, 1/2 shot Chocolate liqueur","Amaretto, Milk, Chocolate liqueur","1 dash , 1/2 shot , 1/2 shot "
86,Clove Cocktail,"1/2 oz Muscatel Wine, 1/2 oz Sloe gin, 1 oz Sweet Vermouth","Wine, Sloe gin, Sweet Vermouth","1/2 oz Muscatel , 1/2 oz , 1 oz "
87,Coffee Liqueur,"2 1/2 cups Water, 1 qt Vodka, 2 1/2 cups Sugar, 4 tblsp Vanilla extract, 10 tblsp instant Coffee","Water, Vodka, Sugar, Vanilla extract, Coffee","2 1/2 cups , 1 qt , 2 1/2 cups , 4 tblsp , 10 tblsp instant "
88,Coke and Drops,"7 drops Lemon juice, 1 dl Coca-Cola","Lemon juice, Coca-Cola","7 drops , 1 dl "
89,Chocolate Drink,"NoneWater, 3/4 L Milk, 125 grChocolate","Water, Milk, Chocolate","3/4 L , 125 gr"
90,Cranberry Punch,"2 qt Ginger ale, 1 tblsp Almond flavoring, 4 cups Pineapple juice, 1 1/2 cup Sugar, 4 cups Cranberry juice","Ginger ale, Almond flavoring, Pineapple juice, Sugar, Cranberry juice","2 qt , 1 tblsp , 4 cups , 1 1/2 cup , 4 cups "
91,Derby,"2 Fresh leavesMint, 2 dashesPeach Bitters, 6 clgin","Mint, Peach Bitters, gin","2 Fresh leaves, 2 dashes, 6 cl"
92,Diesel,"1 dash Blackcurrant cordial, 1/2 pint Cider, 1/2 pint Lager","Blackcurrant cordial, Cider, Lager","1 dash , 1/2 pint , 1/2 pint "
93,Daiquiri,"1 tsp Powdered sugar, Juice of 1/2 Lime, 1 1/2 oz Light rum","Powdered sugar, Lime, Light rum","1 tsp , Juice of 1/2 , 1 1/2 oz "
94,Danbooka,"1 part Everclear, 3 parts Coffee","Everclear, Coffee","1 part , 3 parts "
95,Downshift,"Float Bacardi 151 proof rum, 2 shots Tequila, 1 part Sprite, 2 part Fruit punch","151 proof rum, Tequila, Sprite, Fruit punch","Float Bacardi , 2 shots , 1 part , 2 part "
96,Dragonfly,"1 Lime, 4 oz Ginger ale, 1 1/2 oz Gin","Lime, Ginger ale, Gin","1 , 4 oz , 1 1/2 oz "
97,Dry Martini,"1 Olive, 1/3 oz Dry Vermouth, 1 2/3 oz Gin","Olive, Dry Vermouth, Gin","1 , 1/3 oz , 1 2/3 oz "
98,Dry Rob Roy,"1 twist of Lemon peel, 1 1/2 tsp Dry Vermouth, 2 1/2 oz Scotch","Lemon peel, Dry Vermouth, Scotch","1 twist of , 1 1/2 tsp , 2 1/2 oz "
99,Dirty Nipple,"NoneBaileys irish cream, NoneSambuca, NoneKahlua","Baileys irish cream, Sambuca, Kahlua",
100,Dirty Martini,"1Olive, 1 wedgeLemon, 2 tbspOlive Brine, 1 tbspDry Vermouth, 70ml/2fl ozVodka","Olive, Lemon, Olive Brine, Dry Vermouth, Vodka","1, 1 wedge, 2 tbsp, 1 tbsp, 70ml/2fl oz"
101,Darkwood Sling,"cubesIce, 1 part Orange juice, 1 part Soda water, 1 part Cherry Heering","Ice, Orange juice, Soda water, Cherry Heering","cubes, 1 part , 1 part , 1 part "
102,Dark and Stormy,"10 clGinger Beer, 5 clDark Rum","Ginger Beer, Dark Rum","10 cl, 5 cl"
103,Dark Caipirinha,"2 1/2 ozCachaca, 1Lime, 2 tsp demerara Sugar","Cachaca, Lime, demerara Sugar","2 1/2 oz, 1, 2 tsp "
104,Duchamp's Punch,"2 sprigsLavender, PinchPepper, 2 DashesAngostura Bitters, 1.5 clSt. Germain, 2.5 clPineapple Syrup, 2.5 clLime Juice, 5 clPisco","Lavender, Pepper, Angostura Bitters, St. Germain, Pineapple Syrup, Lime Juice, Pisco","2 sprigs, Pinch, 2 Dashes, 1.5 cl, 2.5 cl, 2.5 cl, 5 cl"
105,Damned if you do,"0.25 oz Hot Damn, 0.75 oz Whiskey","Hot Damn, Whiskey","0.25 oz , 0.75 oz "
106,Dubonnet Cocktail,"1 twist of Lemon peel, 1 dash Bitters, 3/4 oz Gin, 1 1/2 oz Dubonnet Rouge","Lemon peel, Bitters, Gin, Dubonnet Rouge","1 twist of , 1 dash , 3/4 oz , 1 1/2 oz "
107,Drinking Chocolate,"Fresh Whipped cream, 2 oz finely chopped dark Chocolate, 1 Vanilla, 1 stick Cinnamon, 6-8 oz Milk, 2 oz Heavy cream","Whipped cream, Chocolate, Vanilla, Cinnamon, Milk, Heavy cream","Fresh , 2 oz finely chopped dark , 1 , 1 stick , 6-8 oz , 2 oz "
108,Death in the Afternoon,"TopChampagne, 2 shotsAbsinthe","Champagne, Absinthe","Top, 2 shots"
109,Egg Cream,"6 oz Soda water, 6 oz whole Milk, 2 tblsp Chocolate syrup","Soda water, Milk, Chocolate syrup","6 oz , 6 oz whole , 2 tblsp "
110,Egg Nog #4,"Ground Nutmeg, 1/4 cup Sugar, 6 Egg white, 1 cup Whipping cream, 1/4 tsp Salt, 1 tsp Vanilla extract, 1/2 cup Bourbon, 1/2 cup Light rum, 2 cups Milk, 1/4 cup Sugar, 6 Egg yolk","Nutmeg, Sugar, Egg white, Whipping cream, Salt, Vanilla extract, Bourbon, Light rum, Milk, Sugar, Egg yolk","Ground , 1/4 cup , 6 , 1 cup , 1/4 tsp , 1 tsp , 1/2 cup , 1/2 cup , 2 cups , 1/4 cup , 6 "
111,English Highball,"NoneLemon peel, NoneCarbonated water, 3/4 oz Sweet Vermouth, 3/4 oz Gin, 3/4 oz Brandy","Lemon peel, Carbonated water, Sweet Vermouth, Gin, Brandy","3/4 oz , 3/4 oz , 3/4 oz "
112,Espresso Martini,"1 dashSugar syrup, 1 clKahlua, 5 clVodka","Sugar syrup, Kahlua, Vodka","1 dash, 1 cl, 5 cl"
113,Espresso Rumtini,"1 shotCoffee, 1 shotEspresso, 1/2 shotVanilla syrup, 1 shotRum","Coffee, Espresso, Vanilla syrup, Rum","1 shot, 1 shot, 1/2 shot, 1 shot"
114,Egg Nog - Healthy,"
Nutmeg, 1 tsp Rum, 1 tsp Vanilla extract, 3/4 cup skimmed Milk, 13 oz skimmed Condensed milk, 3 tblsp Sugar, 1/2 cup Egg","Nutmeg, Rum, Vanilla extract, Milk, Condensed milk, Sugar, Egg","
, 
, 
, 
, 
, 
, 1 tsp , 1 tsp , 3/4 cup skimmed , 13 oz skimmed , 3 tblsp , 1/2 cup "
115,English Rose Cocktail,"1 Cherry, 1/4 tsp Lemon juice, 1 tsp Grenadine, 3/4 oz Dry Vermouth, 1 1/2 oz Gin, 3/4 oz Apricot brandy","Cherry, Lemon juice, Grenadine, Dry Vermouth, Gin, Apricot brandy","1 , 1/4 tsp , 1 tsp , 3/4 oz , 1 1/2 oz , 3/4 oz "
116,Elderflower Caipirinha,"3 clElderflower cordial, 1Lime, 60 mlCachaca","Elderflower cordial, Lime, Cachaca","3 cl, 1, 60 ml"
117,Egg-Nog - Classic Cooked,"1 tsp Vanilla extract, 1 qt Milk, 1/4 tsp Salt, 1/4 cup Sugar, 6 Egg","Vanilla extract, Milk, Salt, Sugar, Egg","1 tsp , 1 qt , 1/4 tsp , 1/4 cup , 6 "
118,Empellón Cocina's Fat-Washed Mezcal,"1/2 ozCoffee liqueur, 3/4 ozChocolate liqueur, 2 ozMezcal","Coffee liqueur, Chocolate liqueur, Mezcal","1/2 oz, 3/4 oz, 2 oz"
119,Frosé,"2-3 ozLemon Juice, 8 ozStrawberries, 1/2 cupSugar, 750 mlRose","Lemon Juice, Strawberries, Sugar, Rose","2-3 oz, 8 oz, 1/2 cup, 750 ml"
120,Frappé,"1-2 tsp Sugar, 1/2 cup Milk, 1/2 cup black Coffee","Sugar, Milk, Coffee","1-2 tsp , 1/2 cup , 1/2 cup black "
121,Foxy Lady,"2 oz Light cream, 1/2 oz Creme de Cacao, 1/2 oz Amaretto","Light cream, Creme de Cacao, Amaretto","2 oz , 1/2 oz , 1/2 oz "
122,French 75,"1 Maraschino cherry, 1 Orange, 4 oz Chilled Champagne, 1 1/2 oz Lemon juice, 2 tsp superfine Sugar, 1 1/2 oz Gin","Maraschino cherry, Orange, Champagne, Lemon juice, Sugar, Gin","1 , 1 , 4 oz Chilled , 1 1/2 oz , 2 tsp superfine , 1 1/2 oz "
123,Figgy Thyme,"TopTonic Water, 2 dashesAngostura Bitters, 1 SprigThyme, 3Figs, 1 tspHoney, 2 ozVodka","Tonic Water, Angostura Bitters, Thyme, Figs, Honey, Vodka","Top, 2 dashes, 1 Sprig, 3, 1 tsp, 2 oz"
124,Frisco Sour,"1 slice Lime, 1 slice Lemon, Juice of 1/2 Lime, Juice of 1/4 Lemon, 1/2 oz Benedictine, 2 oz Blended whiskey","Lime, Lemon, Lime, Lemon, Benedictine, Blended whiskey","1 slice , 1 slice , Juice of 1/2 , Juice of 1/4 , 1/2 oz , 2 oz "
125,Fruit Shake,"6 Ice, 1/2 piece textural Fruit, 4 oz frozen Orange juice, 1 Banana, 1 cup fruit Yoghurt","Ice, Fruit, Orange juice, Banana, Yoghurt","6 , 1/2 piece textural , 4 oz frozen , 1 , 1 cup fruit "
