,Cocktail Name,Cocktail_tags,Ingredients,Preparation,Alcoholic?,Category
88,Coke and Drops,,"7 drops Lemon juice, 1 dl Coca-Cola, ","Take a glass, pour the Coke in the glass, then you take 7 drops of lemon juice. Granish with a lemon slice on the rim of the glass.",Non alcoholic,Soft Drink
89,Chocolate Drink,,"NoneWater, 3/4 L Milk, 125 grChocolate, ","Melt the bar in a small amount of boiling water. Add milk. Cook over low heat, whipping gently (with a whisk, i would assume) until heated well. Don't let it boil! Serve in coffee mug.",Non alcoholic,Cocoa
90,Cranberry Punch,,"2 qt Ginger ale, 1 tblsp Almond flavoring, 4 cups Pineapple juice, 1 1/2 cup Sugar, 4 cups Cranberry juice, ","Combine first four ingredients. Stir until sugar is dissolved, chill. Then add ginger ale just before serving. Add ice ring to keep punch cold.",Non alcoholic,Punch / Party Drink
91,Derby,"Classic,IBA","2 Fresh leavesMint, 2 dashesPeach Bitters, 6 clgin, ",Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.,Alcoholic,Ordinary Drink
92,Diesel,,"1 dash Blackcurrant cordial, 1/2 pint Cider, 1/2 pint Lager, ",Pour the lager first then add the blackcurrant cordial. Top up with the cider. The colour sholud be very dark approaching the colour of Guiness.,Alcoholic,Beer
93,Daiquiri,"IBA,Classic,Beach","1 tsp Powdered sugar, Juice of 1/2 Lime, 1 1/2 oz Light rum, ",Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,Alcoholic,Ordinary Drink
94,Danbooka,,"1 part Everclear, 3 parts Coffee, ",pour it in and mix it.,Alcoholic,Coffee / Tea
95,Downshift,,"Float Bacardi 151 proof rum, 2 shots Tequila, 1 part Sprite, 2 part Fruit punch, ","Start with the Sprite. Next comes the tequila. After that, add the Minute Maid Fruit Punch, then float the 151. Rocks optional.",Alcoholic,Punch / Party Drink
96,Dragonfly,,"1 Lime, 4 oz Ginger ale, 1 1/2 oz Gin, ","In a highball glass almost filled with ice cubes, combine the gin and ginger ale. Stir well. Garnish with the lime wedge.",Alcoholic,Ordinary Drink
97,Dry Martini,"IBA,Classic,Christmas,Alcoholic","1 Olive, 1/3 oz Dry Vermouth, 1 2/3 oz Gin, ","Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",Alcoholic,Cocktail
98,Dry Rob Roy,,"1 twist of Lemon peel, 1 1/2 tsp Dry Vermouth, 2 1/2 oz Scotch, ","In a mixing glass half-filled with ice cubes, combine the Scotch and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.",Alcoholic,Ordinary Drink
99,Dirty Nipple,,"NoneBaileys irish cream, NoneSambuca, NoneKahlua, ",This is a layered shot - the Bailey's must be on top,Alcoholic,Shot
100,Dirty Martini,"IBA,NewEra","1Olive, 1 wedgeLemon, 2 tbspOlive Brine, 1 tbspDry Vermouth, 70ml/2fl ozVodka, ","Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.",Alcoholic,Cocktail
101,Darkwood Sling,,"cubesIce, 1 part Orange juice, 1 part Soda water, 1 part Cherry Heering, ","There are many good cherry liqueurs you can use, but I prefere Heering. Add one share of the liqueur. Then you add one share of Soda. For a sour sling use Tonic (most people prefer the drink without Tonic). Afterwards you fill the glass with Orange Juice and ice cubes.",Alcoholic,Soft Drink
102,Dark and Stormy,"IBA,NewEra","10 clGinger Beer, 5 clDark Rum, ",In a highball glass filled with ice add 6cl dark rum and top with ginger beer. Garnish with lime wedge.,Alcoholic,Ordinary Drink
103,Dark Caipirinha,,"2 1/2 ozCachaca, 1Lime, 2 tsp demerara Sugar, ","Muddle the sugar into the lime wedges in an old-fashioned glass.
Fill the glass with ice cubes.
Pour the cachaca into the glass.
Stir well.",Alcoholic,Cocktail
104,Duchamp's Punch,,"2 sprigsLavender, PinchPepper, 2 DashesAngostura Bitters, 1.5 clSt. Germain, 2.5 clPineapple Syrup, 2.5 clLime Juice, 5 clPisco, ","Shake all ingredients.
Double strain in a chilled double old fashioned glass with abig ice cube.
Garnish with a couple of lavender sprigs",Alcoholic,Cocktail
105,Damned if you do,,"0.25 oz Hot Damn, 0.75 oz Whiskey, ",Pour into shot glass. Put in mouth. Repeat as deemed necessary.,Alcoholic,Shot
106,Dubonnet Cocktail,,"1 twist of Lemon peel, 1 dash Bitters, 3/4 oz Gin, 1 1/2 oz Dubonnet Rouge, ",Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,Alcoholic,Ordinary Drink
107,Drinking Chocolate,,"Fresh Whipped cream, 2 oz finely chopped dark Chocolate, 1 Vanilla, 1 stick Cinnamon, 6-8 oz Milk, 2 oz Heavy cream, ","Heat the cream and milk with the cinnamon and vanilla bean very slowly for 15-20 minutes. (If you don't have any beans add 1-2 tsp of vanilla after heating). Remove the bean and cinnamon. Add the chocolate. Mix until fully melted. Serve topped with some very dense fresh whipped cream. Serves 1-2 depending upon how much of a glutton you are. For a richer chocolate, use 4 oz of milk, 4 oz of cream, 4 oz of chocolate. Serve in coffee mug.",Non alcoholic,Cocoa
108,Death in the Afternoon,Drunk,"TopChampagne, 2 shotsAbsinthe, ","Easy as you like, pour the absinthe into a chilled glass, top with champagne. Must be drunk mid afternoon for the optimum effect.",Alcoholic,Cocktail
109,Egg Cream,,"6 oz Soda water, 6 oz whole Milk, 2 tblsp Chocolate syrup, ","Mix syrup and milk in a fountain glass. Add soda water, serve with a straw.",Non alcoholic,Other / Unknown
